Song,Artist,YouTube,Official Video
Fight Song,Rachel Platten,https://www.youtube.com/watch?v=xo1VInw-SKc,True
Bad Blood,Taylor Swift,https://www.youtube.com/watch?v=QcIy9NiNbmo,True
Blank Space,Taylor Swift,https://www.youtube.com/watch?v=e-ORhEE9VVg,True
Chandelier,Sia,https://www.youtube.com/watch?v=2vjPBrBU-TM,True
Ramukanji,Onetox,https://www.youtube.com/watch?v=WNicT_k9YS0,False
Tuolumne,Eddie Vedder,https://www.youtube.com/watch?v=en11fCbW-gw,False
Time to Say Goodbye,Andrea Boccelli & Sarah Brightman,https://www.youtube.com/watch?v=LWQbuJ24Wzg,False
Danza Kuduro,Don Omar ft. Lucenzo,https://www.youtube.com/watch?v=7zp1TbLFPp8,True
Bailando,Enrique Iglesias ft. Descemer; Gente De Zona,https://www.youtube.com/watch?v=NUsoVlDFqZg,True
Bailando (English), Enrique Iglesias ft. Sean Paul; Descemer Bueno; Gente De Zona,https://www.youtube.com/watch?v=b8I-7Wk_Vbc,True
See You Again,Wiz Khalifa ft. Charlie Puth,https://www.youtube.com/watch?v=RgKAFK5djSk,True
Oh Boy,Cam'Ron ft. Juelz Santana,https://www.youtube.com/watch?v=9GvB9ySUJ3A,True
If I Could Go,Angie Martinez ft. Lil' Mo & Sacario,https://www.youtube.com/watch?v=0dzY0YReR1E,False
