Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
 1,6m Call,52.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 2,2m Call,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 3,220 Call,223.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 4,70cm Cal,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 91,WX1PA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 92,WX2PA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 93,WX3PA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 94,WX4PA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 95,WX5PA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 96,WX6PA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 97,WX7PA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 98,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 99,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 100,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
 101,SEA 01,160.650000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 102,SEA 02,160.700000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 103,SEA 03,160.750000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 104,SEA 04,160.800000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 105,SEA 05,160.850000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 106,SEA 06,156.300000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 107,SEA 07,160.950000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 108,SEA 08,156.400000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 109,SEA 09,156.450000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 110,SEA 10,156.500000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 111,SEA 11,156.550000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 112,SEA 12,156.600000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 113,SEA 13,156.650000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 114,SEA 14,156.700000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 115,SEA 15,156.750000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 116,SEA 16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 117,SEA 17,156.850000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 118,SEA 18,161.500000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 119,SEA 19,161.550000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 120,SEA 20,161.600000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 121,SEA 21,161.650000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 122,SEA 22,161.700000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 123,SEA 23,161.750000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 124,SEA 24,161.800000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 125,SEA 25,161.850000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 126,SEA 26,161.900000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 127,SEA 27,161.950000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 128,SEA 28,162.000000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 129,SEA 60,160.625000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 130,SEA 61,160.675000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 131,SEA 62,160.725000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 132,SEA 63,160.775000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 133,SEA 64,160.825000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 134,SEA 65,160.875000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 135,SEA 66,160.925000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 136,SEA 67,156.375000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 137,SEA 68,156.425000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 138,SEA 69,156.475000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 139,DSC 70,156.525000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 140,SEA 71,156.575000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 141,SEA 72,156.625000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 142,SEA 73,156.675000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 143,SEA 74,156.725000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 144,SEA 77,156.875000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 145,SEA 78,161.525000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 146,SEA 79,161.575000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 147,SEA 80,161.625000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 148,SEA 81,161.675000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 149,SEA 82,161.725000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 150,SEA 83,161.775000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 151,SEA 84,161.825000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 152,SEA 85,161.875000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 153,SEA 86,161.925000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 154,AIS 87,161.975000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 155,AIS 88,162.025000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 156,SEA F1,155.625000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 157,SEA F2,155.775000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 158,SEA F3,155.825000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 159,SEA L1,155.500000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 160,SEA L2,155.525000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
 201,GMRS 1,462.562500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
 202,GMRS 2,462.587500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
 203,GMRS 3,462.612500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
 204,GMRS 4,462.637500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
 205,GMRS 5,462.662500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
 206,GMRS 6,462.687500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
 207,GMRS 7,462.712500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
 215,GMRS 15,462.550000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
 216,GMRS 16,462.575000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
